RB;ENTITETI;MJERENJE;ATT;MPOTR;MSDM;MKUS
1;1;I;540;32;175;989,7
2;2;I;580;32;170,8;972,7
3;3;I;540;37;197,5;913
4;4;I;545;33;175,3;978
5;5;I;590;40;189;925
6;6;I;580;37;178,5;934
7;7;I;595;43;182,3;976,7
8;8;I;620;32;211,5;969,3
9;9;I;600;37;183;972,7
10;10;I;620;32;162;1031,7
11;11;I;560;32;152,5;1057,3
12;12;I;525;39;183,8;1062
13;13;I;630;41;227,8;885,3
14;14;I;650;40;204,5;975
15;15;I;505;27;172;1007
16;16;I;520;35;176;1005,7
17;17;I;500;35;192;971
18;18;I;540;44;189;895
19;19;I;630;33;152,8;1247
20;20;I;600;29;159,8;1118,7
21;21;I;590;36;149,3;1151,3
22;22;I;740;30;160;1025,7
23;23;I;550;33;174,8;1158,7
24;24;I;570;33;162,3;1182,3
25;25;I;520;26;179,8;1229
26;26;I;610;41;136,8;1133,3
27;27;I;650;36;165;1270,7
28;28;I;690;21;137,5;1230,3
29;29;I;550;37;167;1214,3
30;30;I;550;30;155,5;1313,3
31;31;I;560;27;149,5;1094,3
32;32;I;530;47;167,3;1143
33;33;I;560;30;156;1236,3
34;34;I;590;38;163,8;1055,7
35;35;I;570;47;158;1133,7
36;36;I;470;34;152,5;1184,3
37;37;I;600;44;153;1257,3
38;38;I;610;34;181,5;1073,3
39;39;I;510;37;192,3;1102,3
40;40;I;585;34;168;988
41;1;II;680;32;178,8;1060,7
42;2;II;540;45;202,5;953,7
43;3;II;560;40;207,5;978,7
44;4;II;595;40;189,5;1033,7
45;5;II;635;55;205;903,7
46;6;II;500;42;183;950,7
47;7;II;530;40;185;1106,3
48;8;II;540;46;181,3;910,3
49;9;II;680;44;177,5;939,3
50;10;II;640;32;177,5;1067
51;11;II;540;29;182,5;1038,7
52;12;II;555;52;213,8;883,3
53;13;II;550;35;194,5;1162
54;14;II;540;33;174,3;1234,7
55;15;II;630;30;171;1082,7
56;16;II;530;44;203,8;958,3
57;17;II;615;37;188,8;947
58;18;II;480;34;158,5;1057,3
59;19;II;600;41;185;1046,3
60;20;II;590;38;201,3;1011,3
61;21;II;512;38;169,8;944,3
62;22;II;568;35;178,3;940,3
63;23;II;535;36;202;886
64;24;II;532;34;178,3;898,3
65;25;II;576;36;190,5;898
66;26;II;576;35;173,3;944,3
67;27;II;584;39;173,3;926
68;28;II;612;33;163,8;868
69;29;II;600;33;179,5;934,3
70;30;II;622;27;160,8;1011,3
71;31;II;560;36;155,3;1076
72;32;II;510;35;181,3;1092,3
73;33;II;678;47;230,8;878
74;34;II;650;46;205,8;856
75;35;II;500;26;175;1023,3
76;36;II;515;31;177,8;961,3
77;37;II;482;36;188,3;931,3
78;38;II;550;43;198,5;902,3
79;39;II;650;39;164,5;1105,3
80;40;II;610;38;161;1314
81;1;III;612;40;150,5;1098,7
82;2;III;740;38;168;1048,7
83;3;III;530;33;167,3;1099
84;4;III;560;35;152,5;1133,7
85;5;III;518;24;195;1241
86;6;III;560;50;136,5;1136,3
87;7;III;630;36;157,8;1115,7
88;8;III;690;34;152,3;1194,3
89;9;III;556;41;193;1045,7
90;10;III;540;33;142;1180
91;11;III;548;42;156,8;1016,7
92;12;III;520;45;173;975,7
93;13;III;545;33;170;1110,7
94;14;III;565;43;169,8;1085
95;15;III;570;51;171;1110,7
96;16;III;470;37;159,8;1091,7
97;17;III;594;44;156,5;1179,3
98;18;III;608;42;189,8;1003,7
99;19;III;510;47;185;945,7
100;20;III;554;54;175,8;931
101;21;III;718;38;166;1094,7
102;22;III;536;47;201,8;860,7
103;23;III;585;38;203;901,7
104;24;III;592;40;171;962
105;25;III;592;51;190,5;861,7
106;26;III;508;46;181;919,7
107;27;III;514;38;170,3;975,3
108;28;III;540;47;202,3;859
109;29;III;684;44;170,8;921,3
110;30;III;648;28;160;1011,3
111;31;III;540;30;167,8;950,3
112;32;III;530;51;204,3;852
113;33;III;546;33;173,8;1073
114;34;III;540;33;161,3;1039
115;35;III;634;38;164;973
116;36;III;530;40;181,8;862,7
117;37;III;595;40;186,5;878,7
118;38;III;484;37;158,8;1028,7
119;39;III;580;45;168,3;981,3
120;40;III;580;37;181,8;877,3
